,Pre-B,B,Pro-B,Early Lymphoid,HSC MPP,Early Erythroid,pDC,Cycling Progenitor,Megakaryocyte Precursor,CD4 Memory T,NK,CD8 Memory T,Plasma_Cell,EoBasoMast Precursor,Late GMP,Early GMP,cDC,LMPP,MEP,Pro-Monocyte,Naive T,Monocyte,Late Erythroid,Stromal
BA2088R,0.0611296204158017,0,0,0,0,0,0,0,0.101438462144247,0,0.0995675527725971,0,0,0,0,0,0,0,0,0,0,0.603138730419312,7.44762266034605e-06,0.134718186625382
BA2116R,0.000288262517173362,0,0,0,0,0,0,0,0.0948159798892724,0,0,0,0,0,0,0,0,0,0,0.00427701457611638,0,0.67147500118169,0,0.229143741835748
BA2584R,0.00272340810557688,0,0.0728066004963188,0,0,0,0,0,0.143372119161162,0,0.166268508258871,0,0.000410139776673105,0,0,0,0.154914382374494,0,0,0,0,0.110205987811243,0,0.349298854015662
BA3079R,0.00187578739250362,0,0.0351182126152307,0,0,0,0,0,0.127032282145027,0,0.0179215854396446,0,0,0,0,0,0.0232883388921248,0,0,0,0,0.482657472868784,0,0.312106320646685
BA2417R,0.148494806454318,0,0.00131968637399087,0,0,0,0,0,0.152744090226506,0,0,0,0,0,0,0,0.0118242120286264,0,0,0,0,0.472732780833798,0,0.212884424082762
BA2361R,0.0463060268391713,0,0,0,0,0,0,0,0.0522495186639422,0,0.0220081647758828,0,0,0,0,0,0,0,0,0.00450905672996067,0,0.824029660379317,0,0.0508975726117258
BA2450R,0,0,0.0890474782664973,0,0,0,0,0,0.485331954231877,0,0.0354195396878746,0,0,0,0,0,0,0,0,0,0,0.194114277404135,0,0.196086750409616
BA2492R,0,0,0,0,0,0,0,0,0.108720416080214,0,0,0,0,0,0,0,0.00137575041519867,0,0,0.00181099368815361,0,0.760115487081279,0,0.127977352735155
BA2552R,0.00134719661384981,0,0.408945072144449,0,0,0,0,0.00173590899229514,0.291683152545384,0,0.0079121724367217,0,0,0,0,0,0,0,0.00178440968487554,0,0,0.120972796536817,0,0.165619291045609
BA2472R,0.0820701717522481,0,0.0020943575873371,0,0,0,0,0,0.0902050043956771,0,0.0115308587035023,0,0.000126602338717813,0,0,0,0,0,0,0,0,0.707017264691672,0.00671163979578673,0.100244100735059
BA2994R,0.0392256170991458,0,0.067656399026891,0,0,0,0,0,0.564109563055479,0,0,0,0,0,0,0,0,0,0,0,0,0.0823352744986051,0,0.24667314631988
BA2047R,0.0178252730374446,0,0.00122952668910406,0,0,0,0,0,0.372755386829114,0,0.0182054620708388,0,0,0,0,0,0,0,0,0,0,0.257314509019865,0,0.332669842353634
BA2101R,0.00123390322717808,0,0.0854564418722918,0,0,0.000179699673335751,0,0,0.0549375534898047,0,0.245234192397396,0,0.000139327939515384,0,0,0,0.0400164709852514,0,0,0,0,0.214981471922222,0.00875402765210525,0.3490669108409
BA2082R,0,0,0.205980790766168,0,0,0,0,0,0.0636637663393185,0,0.0552023280327058,0,1.98856022270057e-06,0,0,0,0.185578967623454,0,0,0,0,0.436042230456283,0,0.0535299282218469
BA2879R,0,0,0,0,0,0,0,0,0.0108031546766054,0,0.0448005026621113,0,0,0,0,0,0,0,0,0.00425021188630454,0,0.738703163093099,0.00176165929089496,0.199681308390984
BA2577R,0.227421669352804,0,0.0892901471811356,0,0,0.0139528215750901,0,0,0.387533790346913,0,0,0,0,0,0,0,0,0,0,0,0,0.175303893772274,0.000705000707883096,0.1057926770639
BA2456R,0.0274494571956547,0,0.00212432223455586,0,0,0,0,0,0.0287069204739686,0,0.0296699299376818,0,0,0,0,0,0,0,0,0,0,0.748068242580242,0,0.163981127577897
BA2175R,0.0166155430745672,0,0,0,0,0,0,0,0.118654925078432,0,0,0,0,0,0,0,0,0,0,0.105522558760769,0,0.558594969798106,0,0.200612003288126
BA2824R,0.00205319830312157,0,0.0880158455646411,0,0,0,0,0,0.611253009554224,0,0,0,0,0,0,0,0,0,0,0,0,0.161467069115947,0,0.137210877462067
